id,activity_hour,calories,total_intensity,average_intensity,step_total,datetime,date,hour,weekday,time_of_day,calories_per_step_hourly
1503960366,3/12/2016 12:00:00 AM,48,0,0,0,2016-03-12T00:00:00Z,2016-03-12,0,Saturday,Night,0
1503960366,3/12/2016 1:00:00 AM,48,0,0,0,2016-03-12T01:00:00Z,2016-03-12,1,Saturday,Night,0
1503960366,3/12/2016 2:00:00 AM,48,0,0,0,2016-03-12T02:00:00Z,2016-03-12,2,Saturday,Night,0
1503960366,3/12/2016 3:00:00 AM,48,0,0,0,2016-03-12T03:00:00Z,2016-03-12,3,Saturday,Night,0
1503960366,3/12/2016 4:00:00 AM,48,0,0,0,2016-03-12T04:00:00Z,2016-03-12,4,Saturday,Night,0
1503960366,3/12/2016 5:00:00 AM,48,0,0,0,2016-03-12T05:00:00Z,2016-03-12,5,Saturday,Night,0
1503960366,3/12/2016 6:00:00 AM,48,0,0,0,2016-03-12T06:00:00Z,2016-03-12,6,Saturday,Morning,0
1503960366,3/12/2016 7:00:00 AM,48,0,0,0,2016-03-12T07:00:00Z,2016-03-12,7,Saturday,Morning,0
1503960366,3/12/2016 8:00:00 AM,48,0,0,0,2016-03-12T08:00:00Z,2016-03-12,8,Saturday,Morning,0
1503960366,3/12/2016 9:00:00 AM,49,1,0.016667,8,2016-03-12T09:00:00Z,2016-03-12,9,Saturday,Morning,6.125
1503960366,3/12/2016 10:00:00 AM,89,26,0.433333,551,2016-03-12T10:00:00Z,2016-03-12,10,Saturday,Morning,0.16152450090744103
1503960366,3/12/2016 11:00:00 AM,134,49,0.816667,1764,2016-03-12T11:00:00Z,2016-03-12,11,Saturday,Morning,0.07596371882086168
1503960366,3/12/2016 12:00:00 PM,130,47,0.783333,1259,2016-03-12T12:00:00Z,2016-03-12,12,Saturday,Afternoon,0.10325655281969817
1503960366,3/12/2016 1:00:00 PM,81,20,0.333333,253,2016-03-12T13:00:00Z,2016-03-12,13,Saturday,Afternoon,0.3201581027667984
1503960366,3/12/2016 2:00:00 PM,254,121,2.016667,4470,2016-03-12T14:00:00Z,2016-03-12,14,Saturday,Afternoon,0.056823266219239374
1503960366,3/12/2016 3:00:00 PM,271,129,2.15,4919,2016-03-12T15:00:00Z,2016-03-12,15,Saturday,Afternoon,0.05509249847529986
1503960366,3/12/2016 4:00:00 PM,141,42,0.7,1905,2016-03-12T16:00:00Z,2016-03-12,16,Saturday,Afternoon,0.07401574803149606
1503960366,3/12/2016 5:00:00 PM,104,20,0.333333,1038,2016-03-12T17:00:00Z,2016-03-12,17,Saturday,Afternoon,0.1001926782273603
1503960366,3/12/2016 6:00:00 PM,54,2,0.033333,14,2016-03-12T18:00:00Z,2016-03-12,18,Saturday,Evening,3.857142857142857
1503960366,3/12/2016 7:00:00 PM,97,30,0.5,606,2016-03-12T19:00:00Z,2016-03-12,19,Saturday,Evening,0.16006600660066006
1503960366,3/12/2016 8:00:00 PM,58,4,0.066667,56,2016-03-12T20:00:00Z,2016-03-12,20,Saturday,Evening,1.0357142857142858
1503960366,3/12/2016 9:00:00 PM,100,29,0.483333,782,2016-03-12T21:00:00Z,2016-03-12,21,Saturday,Evening,0.1278772378516624
1503960366,3/12/2016 10:00:00 PM,123,41,0.683333,1132,2016-03-12T22:00:00Z,2016-03-12,22,Saturday,Night,0.10865724381625441
1503960366,3/12/2016 11:00:00 PM,111,35,0.583333,918,2016-03-12T23:00:00Z,2016-03-12,23,Saturday,Night,0.12091503267973856
1503960366,3/13/2016 12:00:00 AM,55,3,0.05,39,2016-03-13T00:00:00Z,2016-03-13,0,Sunday,Night,1.4102564102564104
