id,activity_date,total_steps,total_distance,tracker_distance,logged_activities_distance,very_active_distance,moderately_active_distance,light_active_distance,sedentary_active_distance,very_active_minutes,fairly_active_minutes,lightly_active_minutes,sedentary_minutes,calories,weekday,total_active_minutes,calories_per_step,activity_level,distance_category
1503960366,2016-03-25,11004,7.1100001335144,7.1100001335144,0,2.5699999332428,0.46000000834465,4.07000017166138,0,33,12,205,804,1819,Friday,250,0.1653035259905489,Good Activity,Good Distance
1503960366,2016-03-26,17609,11.5500001907349,11.5500001907349,0,6.92000007629395,0.730000019073486,3.91000008583069,0,89,17,274,588,2154,Saturday,380,0.12232381168720541,High Activity,Long Distance
1503960366,2016-03-27,12736,8.52999973297119,8.52999973297119,0,4.65999984741211,0.159999996423721,3.71000003814697,0,56,5,268,605,1944,Sunday,329,0.15263819095477388,Good Activity,Long Distance
1503960366,2016-03-28,13231,8.93000030517578,8.93000030517578,0,3.19000005722046,0.790000021457672,4.94999980926514,0,39,20,224,1080,1932,Monday,283,0.14602070894112312,Good Activity,Long Distance
1503960366,2016-03-29,12041,7.84999990463257,7.84999990463257,0,2.16000008583069,1.0900000333786,4.6100001335144,0,28,28,243,763,1886,Tuesday,299,0.1566315090108795,Good Activity,Good Distance
1503960366,2016-03-30,10970,7.15999984741211,7.15999984741211,0,2.35999989509583,0.509999990463257,4.28999996185303,0,30,13,223,1174,1820,Wednesday,266,0.1659070191431176,Good Activity,Good Distance
1503960366,2016-03-31,12256,7.8600001335144,7.8600001335144,0,2.28999996185303,0.490000009536743,5.03999996185303,0,33,12,239,820,1889,Thursday,284,0.154128590078329,Good Activity,Good Distance
1503960366,2016-04-01,12262,7.86999988555908,7.86999988555908,0,3.3199999332428,0.829999983310699,3.64000010490417,0,47,21,200,866,1868,Friday,268,0.1523405643451313,Good Activity,Good Distance
1503960366,2016-04-02,11248,7.25,7.25,0,3,0.449999988079071,3.74000000953674,0,40,11,244,636,1843,Saturday,295,0.16385135135135134,Good Activity,Good Distance
1503960366,2016-04-03,10016,6.36999988555908,6.36999988555908,0,0.910000026226044,1.27999997138977,4.17999982833862,0,15,30,314,655,1850,Sunday,359,0.18470447284345048,Good Activity,Good Distance
1503960366,2016-04-04,14557,9.80000019073486,9.80000019073486,0,3.39000010490417,0.699999988079071,5.69000005722046,0,43,18,285,757,2030,Monday,346,0.13945181012571273,Good Activity,Long Distance
1503960366,2016-04-05,14844,9.72999954223633,9.72999954223633,0,2.94000005722046,0.759999990463257,6.03999996185303,0,36,18,341,736,2083,Tuesday,395,0.1403260576663972,Good Activity,Long Distance
1503960366,2016-04-06,11974,7.67000007629395,7.67000007629395,0,2.03999996185303,0.479999989271164,5.15000009536743,0,27,12,228,1173,1861,Wednesday,267,0.15542007683313847,Good Activity,Good Distance
1503960366,2016-04-07,10198,6.44000005722046,6.44000005722046,0,1.20000004768372,0.790000021457672,4.44999980926514,0,17,20,195,1208,1755,Thursday,232,0.17209256717003335,Good Activity,Good Distance
1503960366,2016-04-08,12521,7.94000005722046,7.94000005722046,0,3.30999994277954,0.899999976158142,3.74000000953674,0,46,22,212,1160,1895,Friday,280,0.1513457391582142,Good Activity,Good Distance
1503960366,2016-04-09,12432,8.10000038146973,8.10000038146973,0,2.58999991416931,0.589999973773956,4.92000007629395,0,32,15,248,738,1883,Saturday,295,0.15146396396396397,Good Activity,Long Distance
1503960366,2016-04-10,10057,6.98000001907349,6.98000001907349,0,4,0.490000009536743,2.48000001907349,0,44,13,168,737,1755,Sunday,225,0.17450531967783633,Good Activity,Good Distance
1503960366,2016-04-11,10990,7.26000022888184,7.26000022888184,0,2.03999996185303,0.569999992847443,4.65000009536743,0,26,14,216,855,1811,Monday,256,0.16478616924476797,Good Activity,Good Distance
1503960366,2016-04-12,224,0.140000000596046,0.140000000596046,0,0,0,0.129999995231628,0,0,0,9,32,50,Tuesday,9,0.22321428571428573,Low Activity,Short Distance
1624580081,2016-03-25,1810,1.17999994754791,1.17999994754791,0,0,0,1.12999999523163,0.00999999977648258,0,0,121,1319,1373,Friday,121,0.7585635359116022,Low Activity,Short Distance
1624580081,2016-03-26,815,0.529999971389771,0.529999971389771,0,0,0,0.529999971389771,0,0,0,47,1393,1264,Saturday,47,1.550920245398773,Low Activity,Short Distance
1624580081,2016-03-27,1985,1.28999996185303,1.28999996185303,0,0,0,1.27999997138977,0.00999999977648258,0,0,112,1328,1350,Sunday,112,0.6801007556675063,Low Activity,Short Distance
1624580081,2016-03-28,1905,1.24000000953674,1.24000000953674,0,0,0,1.24000000953674,0,0,0,95,1345,1342,Monday,95,0.7044619422572178,Low Activity,Short Distance
1624580081,2016-03-29,1552,1.00999999046326,1.00999999046326,0,0,0,1,0,0,0,66,1374,1300,Tuesday,66,0.8376288659793815,Low Activity,Short Distance
1624580081,2016-03-30,1675,1.0900000333786,1.0900000333786,0,0,0,1.0900000333786,0,0,0,84,1356,1313,Wednesday,84,0.7838805970149254,Low Activity,Short Distance
1624580081,2016-03-31,4506,2.9300000667572,2.9300000667572,0,0.509999990463257,0.270000010728836,2.15000009536743,0.00999999977648258,7,4,144,1285,1498,Thursday,155,0.3324456280514869,Low Activity,Moderate Distance
1624580081,2016-04-01,9218,5.98999977111816,5.98999977111816,0,0,0,5.96999979019165,0.00999999977648258,0,0,221,1219,1541,Friday,221,0.16717292254285093,Moderate Activity,Good Distance
1624580081,2016-04-02,1556,1.00999999046326,1.00999999046326,0,0,0,1.00999999046326,0.00999999977648258,0,0,88,1352,1327,Saturday,88,0.852827763496144,Low Activity,Short Distance
1624580081,2016-04-03,2910,1.88999998569489,1.88999998569489,0,0,0,1.87999999523163,0.00999999977648258,0,0,157,1283,1452,Sunday,157,0.49896907216494846,Low Activity,Short Distance
1624580081,2016-04-04,18464,12,12,0,0,0,12,0,0,0,270,1170,1574,Monday,270,0.0852469670710572,High Activity,Long Distance
1624580081,2016-04-05,1335,0.870000004768372,0.870000004768372,0,0,0,0.870000004768372,0,0,0,74,1366,1308,Tuesday,74,0.9797752808988764,Low Activity,Short Distance
1624580081,2016-04-06,1004,0.649999976158142,0.649999976158142,0,0,0,0.649999976158142,0,0,0,55,1385,1276,Wednesday,55,1.2709163346613546,Low Activity,Short Distance
1624580081,2016-04-07,1111,0.720000028610229,0.720000028610229,0,0,0,0.720000028610229,0,0,0,54,1386,1278,Thursday,54,1.1503150315031503,Low Activity,Short Distance
1624580081,2016-04-08,6344,4.11999988555908,4.11999988555908,0,0,0,4.09999990463257,0,0,0,143,1297,1409,Friday,143,0.22209962168978561,Moderate Activity,Moderate Distance
1624580081,2016-04-09,3572,2.3199999332428,2.3199999332428,0,0,0,2.28999996185303,0.0299999993294477,0,0,122,1318,1370,Saturday,122,0.38353863381858905,Low Activity,Moderate Distance
1624580081,2016-04-10,3910,2.53999996185303,2.53999996185303,0,0.469999998807907,0.25,1.80999994277954,0.00999999977648258,7,7,186,1240,1555,Sunday,200,0.3976982097186701,Low Activity,Moderate Distance
1624580081,2016-04-11,10000,6.5,6.5,0,0,0,6.5,0,0,0,172,1268,1469,Monday,172,0.1469,Good Activity,Good Distance
1624580081,2016-04-12,6627,4.30999994277954,4.30999994277954,0,0,0,4.30999994277954,0,0,0,89,604,706,Tuesday,89,0.10653387656556511,Moderate Activity,Moderate Distance
1644430081,2016-04-01,4636,3.41000008583069,3.41000008583069,0,0,0.779999971389771,2.59999990463257,0.0299999993294477,0,16,586,838,3323,Friday,602,0.7167817083692839,Low Activity,Moderate Distance
1644430081,2016-04-02,20237,14.710000038147,14.710000038147,0,2.5699999332428,6.40000009536743,5.73000001907349,0.00999999977648258,34,141,347,918,4029,Saturday,522,0.19909077432425754,High Activity,Long Distance
1644430081,2016-04-03,12912,9.40999984741211,9.40999984741211,0,4.82999992370605,0.769999980926514,3.78999996185303,0.0299999993294477,59,16,283,1082,3436,Sunday,358,0.2661090458488228,Good Activity,Long Distance
